EC_protein,EC_accession,SE_protein,SE_accession
"2,3-dihydroxybenzoate-AMP ligase",b0594,"2,3-dihydroxybenzoate-AMP ligase",
"2,3-diketo-L-gulonate reductase",b3575,3-dehydro-L-gulonate 2-dehydrogenase,STM3668
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit",b3577,"2,3-diketo-L-gulonate TRAP transporter small permease",STM3671
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit",b3578,L-dehydroascorbate transporter large permease subunit,STM3672
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein",b3579,"2,3-diketo-L-gulonate TRAP transporter",STM3673
"2,4-dienoyl-CoA reductase",b3081,"NADPH-dependent 2,4-dienoyl-CoA reductase",STM3219
"2-<i>C</i>-methyl-D-erythritol 2,4-cyclodiphosphate synthase",b2746,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",STM2929
2-<i>C</i>-methyl-D-erythritol 4-phosphate cytidylyltransferase,b2747,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,STM2930
2-amino-3-ketobutyrate CoA ligase,b3617,glycine C-acetyltransferase,STM3709
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,b0142,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,STM0183
2-dehydro-3-deoxy-D-gluconate:H<sup>+</sup> symporter,b3909,2-keto-3-deoxygluconate permease,STM0161
2-dehydro-3-deoxygalactonokinase,b3693,2-oxo-3-deoxygalactonate kinase,STM3829
2-dehydro-3-deoxygluconokinase,b3526,ketodeoxygluconokinase,STM3612
2-dehydropantoate 2-reductase,b0425,2-dehydropantoate 2-reductase,STM2573
2-hydroxypentadienoate hydratase,b0350,,
2-iminoacetate synthase,b3990,thiamine biosynthesis protein,STM4159
2-isopropylmalate synthase,b0074,2-isopropylmalate synthase,STM0113
2-keto-3-deoxy-L-rhamnonate aldolase,b2245,2-keto-3-deoxy-L-rhamnonate aldolase,STM2289
2-methylcitrate dehydratase,b0334,2-methylcitrate dehydratase,STM0370
2-methylcitrate synthase,b0333,2-methylcitrate synthase,STM0369
2-methylisocitrate lyase,b0331,,
2-nitroimidazole exporter,b1791,putative MFS family transport protein (Amino acid/amine transport),STM1278
2-octaprenyl-6-methoxyphenol 4-hydroxylase,b2907,2-octaprenyl-6-methoxyphenyl hydroxylase,STM3057
2-octaprenylphenol 6-hydroxylase,b2906,FAD-dependent 2-octaprenylphenol hydroxylase,STM3056
2-oxobutanoate formate-lyase/pyruvate formate-lyase 4,b3114,formate C-acetyltransferase,STM0973
2-oxoglutaramate amidase,b0219,putative amidohydrolase,STM3133
2-oxoglutarate dehydrogenase E2 subunit,b0727,dihydrolipoyltranssuccinylase subunit,STM0737
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,b2264,2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylic-acid synthase,STM2309
"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",b2263,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase",STM2308
23S rRNA 2'-<i>O</i>-ribose C2498 methyltransferase,b2806,23S rRNA (cytidine(2498)-2'-O)-methyltransferase,STM2980
23S rRNA 2'-<i>O</i>-ribose G2251 methyltransferase,b4180,23S rRNA (guanosine(2251)-2'-O)-methyltransferase,STM4369
23S rRNA 2'-<i>O</i>-ribose U2552 methyltransferase,b3179,23S rRNA (uridine(2552)-2'-O)-methyltransferase,STM3297
23S rRNA 5-hydroxycytidine C2501 synthase,b1435,protease,STM1716
23S rRNA m<sup>1</sup>G745 methyltransferase,b1822,23S rRNA (guanine(745)-N(1))-methyltransferase,STM1835
23S rRNA m<sup>2</sup>A2503 methyltransferase/tRNA m<sup>2</sup>A37 methyltransferase,b2517,bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase,STM2525
23S rRNA m<sup>2</sup>G1835 methyltransferase,b3084,23S rRNA (guanine(1835)-N(2))-methyltransferase,STM3220
23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase,b0636,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase,STM0641
23S rRNA m<sup>5</sup>C1962 methyltransferase,b0967,23S rRNA (cytosine(1962)-C(5))-methyltransferase,STM1080
23S rRNA m<sup>5</sup>U1939 methyltransferase,b2785,23S rRNA (uracil(1939)-C(5))-methyltransferase,STM2957
23S rRNA m<sup>5</sup>U747 methyltransferase,b0859,23S rRNA (uracil(747)-C(5))-methyltransferase,STM0882
23S rRNA m<sup>6</sup>A1618 methyltransferase,b0807,23S rRNA (adenine(1618)-N(6))-methyltransferase,STM0826
23S rRNA m<sup>6</sup>A2030 methyltransferase,b3499,23S rRNA (adenine(2030)-N(6))-methyltransferase,STM3596
23S rRNA pseudouridine<sup>1911/1915/1917</sup> synthase,b2594,23S rRNA pseudouridine(1911/1915/1917) synthase,STM2662
23S rRNA pseudouridine<sup>2457</sup> synthase,b1135,23S rRNA pseudouridine synthase E,STM1237
23S rRNA pseudouridine<sup>2604</sup> and tRNA<sup>Tyr</sup> pseudouridine<sup>35</sup> synthase,b4022,23S rRNA pseudouridine synthase F,STM4193
23S rRNA pseudouridine<sup>2605</sup> synthase,b1269,23S rRNA pseudouridylate synthase,STM1719
23S rRNA pseudouridine<sup>746</sup> and tRNA pseudouridine<sup>32</sup> synthase,b0058,bifunctional tRNA pseudouridine(32) synthase/ribosomal large subunit pseudouridine synthase,STM0095
23S rRNA pseudouridine<sup>955/2504/2580</sup> synthase,b1086,23S rRNA pseudouridine(955/2504/2580) synthase,STM1187
3' &rarr; 5' ssDNA/RNA  exonuclease TatD,b4483,hydrolase,STM3976
"3'(2'),5'-bisphosphate nucleotidase",b4214,"3'(2'),5'-bisphosphate nucleotidase",STM4404
"3,4-dihydroxy-2-butanone-4-phosphate synthase",b3041,"3,4-dihydroxy-2-butanone-4-phosphate synthase",STM3195
3-(3-hydroxyphenyl)propanoate hydroxylase,b0347,,
3-dehydroquinate dehydratase,b1693,3-dehydroquinate dehydratase,STM1358
3-dehydroquinate synthase,b3389,3-dehydroquinate synthase,STM3486
3-demethoxyubiquinol 3-hydroxylase,b0662,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",STM0671
"3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive",b0754,3-deoxy-7-phosphoheptulonate synthase,STM2670
"3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive",b1704,3-deoxy-7-phosphoheptulonate synthase,STM2670
"3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive",b2601,3-deoxy-7-phosphoheptulonate synthase,STM2670
3-deoxy-<i>manno</i>-octulosonate cytidylyltransferase,b0918,3-deoxy-manno-octulosonate cytidylyltransferase,STM0988
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate phosphatase KdsC,b3198,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase,STM3316
3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase,b1215,3-deoxy-8-phosphooctulonate synthase,STM1772
3-hydroxy acid dehydrogenase YdfG,b1539,NADP-dependent 3-hydroxy acid dehydrogenase,STM1511
"3-hydroxy-2,4-pentadione 5-phosphate thiolase",b1517,autoinducer 2 aldolase,STM4078
3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,b0180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,STM0227
3-hydroxyphenylpropionate/3-hydroxycinnamate:H<sup>+</sup> symporter,b0353,,
3-isopropylmalate dehydratase subunit LeuC,b0072,3-isopropylmalate dehydratase large subunit,STM0111
3-isopropylmalate dehydratase subunit LeuD,b0071,3-isopropylmalate dehydratase small subunit,STM0330
3-isopropylmalate dehydrogenase,b0073,3-isopropylmalate dehydrogenase,STM0112
3-keto-L-gulonate-6-phosphate decarboxylase SgbH,b3581,3-keto-L-gulonate-6-phosphate decarboxylase,STM3675
3-keto-L-gulonate-6-phosphate decarboxylase UlaD,b4196,3-keto-L-gulonate-6-phosphate decarboxylase,STM3675
3-ketoacyl-CoA thiolase,b3845,3-ketoacyl-CoA thiolase,STM2389
3-ketoacyl-CoA thiolase FadI,b2342,3-ketoacyl-CoA thiolase,STM2389
3-mercaptopyruvate sulfurtransferase,b2521,3-mercaptopyruvate sulfurtransferase,STM2533
3-methyl-2-oxobutanoate hydroxymethyltransferase,b0134,3-methyl-2-oxobutanoate hydroxymethyltransferase,STM0182
"3-methyl-adenine DNA glycosylase I, constitutive",b3549,DNA-3-methyladenine glycosylase I,STM3642
3-octaprenyl-4-hydroxybenzoate decarboxylase,b3843,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,STM3978
3-oxoacyl-[acyl carrier protein] synthase 1,b2323,beta-ketoacyl-[acyl-carrier-protein] synthase I,STM2378
3-oxoacyl-[acyl carrier protein] synthase 2,b1095,beta-ketoacyl-[acyl-carrier-protein] synthase II,STM1197
3-oxoacyl-[acyl carrier protein] synthase 3,b1091,3-oxoacyl-ACP synthase,STM1193
3-oxoacyl-[acyl-carrier-protein] reductase FabG,b1093,3-oxoacyl-ACP reductase,STM1195
3-phosphoshikimate 1-carboxyvinyltransferase,b0908,3-phosphoshikimate 1-carboxyvinyltransferase,STM0978
3-sulfolactaldehyde reductase,b3882,3-sulfolactaldehyde reductase,STM4023
30S ribosomal subunit biogenesis factor LepA,b2569,elongation factor 4,STM2583
30S ribosomal subunit maturation GTPase Era,b2566,GTPase,STM4362
30S ribosomal subunit protein S1,b0911,30S ribosomal protein S1,STM0981
30S ribosomal subunit protein S10,b3321,30S ribosomal protein S10,STM3441
30S ribosomal subunit protein S11,b3297,30S ribosomal protein S11,STM3417
30S ribosomal subunit protein S12,b3342,30S ribosomal protein S12,STM3448
30S ribosomal subunit protein S13,b3298,30S ribosomal protein S13,STM3418
30S ribosomal subunit protein S14,b3307,30S ribosomal protein S14,STM3427
30S ribosomal subunit protein S15,b3165,30S ribosomal protein S15,STM3283
30S ribosomal subunit protein S16,b2609,30S ribosomal protein S16,STM2676
30S ribosomal subunit protein S17,b3311,30S ribosomal protein S17,STM3431
30S ribosomal subunit protein S18,b4202,a 30S ribosomal subunit protein S18,
30S ribosomal subunit protein S19,b3316,30S ribosomal protein S19,STM3436
30S ribosomal subunit protein S2,b0169,30S ribosomal protein S2,STM0216
30S ribosomal subunit protein S20,b0023,30S ribosomal protein S20,STM0043
30S ribosomal subunit protein S21,b3065,30S ribosomal protein S21,STM3209
30S ribosomal subunit protein S3,b3314,30S ribosomal protein S3,STM3434
30S ribosomal subunit protein S4,b3296,DNA-binding transcriptional regulator,STM1842
30S ribosomal subunit protein S5,b3303,a 30S ribosomal subunit protein S5,
30S ribosomal subunit protein S6,b4200,30S ribosomal protein S6,STM4391
30S ribosomal subunit protein S7,b3341,30S ribosomal protein S7,STM3447
30S ribosomal subunit protein S8,b3306,30S ribosomal protein S8,STM3426
30S ribosomal subunit protein S9,b3230,30S ribosomal protein S9,STM3344
30S ribosome binding factor,b3167,ribosome-binding factor A,STM3285
"4,5-DOPA dioxygenase extradiol",b3039,"4,5-DOPA dioxygenase extradiol",STM3189
4-&alpha;-glucanotransferase,b3416,4-alpha-glucanotransferase,STM3513
4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,b1208,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,STM1779
4-aminobutanoate:H<sup>+</sup> symporter,b2663,GABA permease,STM2793
4-aminobutyrate aminotransferase GabT,b2662,4-aminobutyrate--2-oxoglutarate transaminase,STM2792
4-hydroxy-3-methylbut-2-enyl diphosphate reductase,b0029,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,STM0049
4-hydroxy-tetrahydrodipicolinate reductase,b0031,4-hydroxy-tetrahydrodipicolinate reductase,STM0064
4-hydroxy-tetrahydrodipicolinate synthase,b2478,4-hydroxy-tetrahydrodipicolinate synthase,STM2489
4-hydroxybenzoate octaprenyltransferase,b4040,4-hydroxybenzoate polyprenyltransferase,STM4234
4-hydroxythreonine-4-phosphate dehydrogenase,b0052,4-hydroxythreonine-4-phosphate dehydrogenase,STM0091
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,b0159,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,STM0207
5'-nucleotidase / UDP-sugar hydrolase,b0480,bifunctional UDP-sugar hydrolase/5'-nucleotidase,STM0494
"5,10-methylenetetrahydrofolate reductase",b3941,methylenetetrahydrofolate reductase [NAD(P)H],STM4105
5-(carboxyamino)imidazole ribonucleotide synthase,b0522,5-(carboxyamino)imidazole ribonucleotide synthase,STM0533
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,b0844,,
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,b3812,flavin mononucleotide phosphatase,STM3950
5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,b3706,5-carboxymethylaminomethyluridine-tRNA synthase MnmE subunit,STM3843
5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,b3741,5-carboxymethylaminomethyluridine-tRNA synthase MnmG subunit,STM3874
5-dehydro-4-deoxy-D-glucuronate isomerase,b2843,pectin-degrading enzyme,STM3018
5-hydroxy-CTP diphosphatase,b1759,,
5-keto-D-gluconate 5-reductase,b4266,5-keto-D-gluconate-5-reductase,STM4483
5-oxoprolinase component A,b0713,5-oxoprolinase subunit A,STM0714
5-oxoprolinase component B,b0711,putative carboxylase,STM0713
5-oxoprolinase component C,b0712,putative carboxylase,STM0713
50S ribosomal protein L16-arginine 3-hydroxylase,b1128,50S ribosomal protein L16 arginine hydroxylase,STM1229
50S ribosomal subunit assembly factor BipA,b3871,GTP-binding protein,STM4009
50S ribosomal subunit protein L1,b3984,50S ribosomal protein L1,STM4150
50S ribosomal subunit protein L10,b3985,50S ribosomal protein L10,STM4151
50S ribosomal subunit protein L11,b3983,50S ribosomal protein L11,STM4149
50S ribosomal subunit protein L12,b3986,50S ribosomal protein L7/L12,STM4152
50S ribosomal subunit protein L13,b3231,50S ribosomal protein L13,STM3345
50S ribosomal subunit protein L14,b3310,50S ribosomal protein L14,STM3430
50S ribosomal subunit protein L15,b3301,50S ribosomal protein L15,STM3421
50S ribosomal subunit protein L16,b3313,50S ribosomal subunit protein L16,
50S ribosomal subunit protein L17,b3294,50S ribosomal protein L17,STM3414
50S ribosomal subunit protein L18,b3304,50S ribosomal protein L18,STM3424
50S ribosomal subunit protein L19,b2606,50S ribosomal protein L19,STM2673
50S ribosomal subunit protein L2,b3317,50S ribosomal protein L2,STM3437
50S ribosomal subunit protein L20,b1716,50S ribosomal protein L20,STM1336
50S ribosomal subunit protein L21,b3186,50S ribosomal protein L21,STM3304
50S ribosomal subunit protein L22,b3315,50S ribosomal protein L22,STM3435
50S ribosomal subunit protein L23,b3318,50S ribosomal protein L23,STM3438
50S ribosomal subunit protein L24,b3309,50S ribosomal protein L24,STM3429
50S ribosomal subunit protein L25,b2185,50S ribosomal protein L25,STM2224
50S ribosomal subunit protein L27,b3185,50S ribosomal protein L27,STM3303
50S ribosomal subunit protein L28,b3637,50S ribosomal protein L28,STM3728
50S ribosomal subunit protein L29,b3312,50S ribosomal protein L29,STM3432
50S ribosomal subunit protein L3,b3320,50S ribosomal protein L3,STM3440
50S ribosomal subunit protein L30,b3302,50S ribosomal protein L30,STM3422
50S ribosomal subunit protein L31,b3936,50S ribosomal protein L31,STM0469
50S ribosomal subunit protein L31B,b0296,,
50S ribosomal subunit protein L32,b1089,50S ribosomal protein L32,STM1191
50S ribosomal subunit protein L33,b3636,50S ribosomal protein L33,STM3727
50S ribosomal subunit protein L34,b3703,50S ribosomal protein L34,STM3839
50S ribosomal subunit protein L35,b1717,50S ribosomal protein L35,STM1335
50S ribosomal subunit protein L36,b3299,,
50S ribosomal subunit protein L36B,b4506,,
50S ribosomal subunit protein L4,b3319,50S ribosomal protein L4,STM3439
50S ribosomal subunit protein L5,b3308,50S ribosomal protein L5,STM3428
50S ribosomal subunit protein L6,b3305,50S ribosomal protein L6,STM3425
50S ribosomal subunit protein L9,b4203,50S ribosomal protein L9,STM4394
50S ribosomal subunit stability factor,b2511,ribosome biogenesis GTPase,STM2519
"6,7-dimethyl-8-ribityllumazine synthase",b0415,"6,7-dimethyl-8-ribityllumazine synthase",STM0417
6-<i>N</i>-hydroxylaminopurine resistance protein,b0947,,
"6-carboxy-5,6,7,8-tetrahydropterin synthase",b2765,,
6-deoxy-6-sulfofructose kinase,b3883,6-deoxy-6-sulfofructose kinase,STM4024
6-deoxy-6-sulfofructose-1-phosphate aldolase,b3881,sulfofructosephosphate aldolase,STM4022
6-hydroxyaminopurine reductase,b3910,putative cytoplasmic protein,STM0383
6-phospho-&beta;-glucosidase A,b2901,6-phospho-beta-glucosidase,STM3051
6-phosphofructokinase 1,b3916,ATP-dependent 6-phosphofructokinase,STM4062
6-phosphofructokinase 2,b1723,6-phosphofructokinase II,STM1326
"6-phosphogluconate dehydrogenase, decarboxylating",b2029,"phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)",STM2081
6-phosphogluconate phosphatase,b3715,6-phosphogluconate phosphatase,STM3852
6-phosphogluconolactonase,b0767,6-phosphogluconolactonase,STM0785
7-cyano-7-deazaguanine reductase,b2794,NADPH-dependent 7-cyano-7-deazaguanine reductase,STM2968
7-cyano-7-deazaguanine synthase,b0444,7-cyano-7-deazaguanine synthase,STM0455
8-amino-7-oxononanoate synthase,b0776,8-amino-7-oxononanoate synthase,STM0795
8-oxo-dGTP diphosphatase,b0099,8-oxo-dGTP diphosphatase,STM0137
<i>all-trans</i>-octaprenyl-diphosphate synthase,b3187,octaprenyl diphosphate synthase,STM3305
<i>D</i>-glucarate dehydratase,b2787,glucarate dehydratase,STM2960
"<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]",b0174,"(2E,6E)-farnesyl- diphosphate-specific ditrans,polycis-undecaprenyl-diphosphate synthase",STM0221
<i>ilvBN</i> operon leader peptide,b3672,leader peptide,STM3797
<i>ilvXGMEDA</i> operon leader peptide,b3766,ilvG operon leader peptide,STM3900
<i>leu</i> operon leader peptide,b0075,leu operon leader peptide,STM0114
"<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIA component",b1736,,
"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme IIB component",b1738,PTS sugar transporter subunit IIB,STM3783
"<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIC component",b1737,"PTS N,N'-diacetylchitobiose transporter subunit IIC",STM1313
<i>N</i>-acetyl-D-glucosamine kinase,b1119,N-acetylglucosamine kinase,STM1220
<i>N</i>-acetylglucosamine-6-phosphate deacetylase,b0677,N-acetylglucosamine-6-phosphate deacetylase,STM0683
<i>N</i>-acetylmannosamine kinase,b3222,N-acetylmannosamine kinase,STM3336
<i>N</i>-acetylmuramic acid 6-phosphate etherase,b2428,N-acetylmuramic acid 6-phosphate etherase,STM2571
<i>N</i>-acetylmuramoyl-L-alanine amidase A,b2435,N-acetylmuramoyl-l-alanine amidase I,STM2450
<i>N</i>-acetylmuramoyl-L-alanine amidase B,b4169,N-acetylmuramoyl-L-alanine amidase,STM0146
<i>N</i>-acetylmuramoyl-L-alanine amidase C,b2817,N-acetylmuramoyl-L-alanine amidase,STM0146
<i>N</i>-acetylmuramoyl-L-alanine amidase D,b0867,N-acetylmuramoyl-L-alanine amidase,STM0146
<i>N</i>-acetylneuraminate anomerase,b3221,putative cytoplasmic protein,STM0383
<i>N</i>-acetylneuraminate lyase,b3225,N-acetylneuraminate lyase,STM3339
<i>N</i>-acetylneuraminate mutarotase,b4310,<i>N</i>-acetylneuraminate epimerase,STM1130
<i>N</i>-acetylneuraminate:H<sup>+</sup> symporter,b3224,sialic acid transporter,STM3338
<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase,b3359,bifunctional succinylornithine transaminase/acetylornithine transaminase,STM3468
<i>N</i>-acetyltransferase YhhY,b3441,N-acetyltransferase,STM3546
<i>N</i>-ethylmaleimide reductase,b1650,N-ethylmaleimide reductase,STM1436
N-methyl-L-tryptophan oxidase,b1059,N-methyltryptophan oxidase,STM1160
<i>N</i>-succinylarginine dihydrolase,b1745,N-succinylarginine dihydrolase,STM1306
<i>N</i><sup>4</sup>-acetylcytidine amidohydrolase,b2900,ASCH domain-containing protein,STM3050
<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase,b0523,5-(carboxyamino)imidazole ribonucleotide mutase,STM0534
<i>O</i>-acetyltransferase WecH,b3561,acetyltransferase,STM3658
o-succinylbenzoate synthase,b2261,o-succinylbenzoate synthase,STM2306
<i>o</i>-succinylbenzoate&mdash;CoA ligase,b2260,o-succinylbenzoate--CoA ligase,STM2305
<i>O</i>-succinylhomoserine(thiol)-lyase / <i>O</i>-succinylhomoserine lyase,b3939,cystathionine gamma-synthase,STM4100
<i>pyrBI</i> operon leader peptide,b4246,pyrBI operon leader peptide,STM4461
<i>S</i>-(hydroxymethyl)glutathione dehydrogenase,b0356,,
<i>S</i>-adenosylmethionine decarboxylase proenzyme,b0120,S-adenosylmethionine decarboxylase,STM0165
<i>S</i>-formylglutathione hydrolase / <i>S</i>-lactoylglutathione hydrolase,b2154,S-formylglutathione hydrolase,STM2194
<i>S</i>-ribosylhomocysteine lyase,b2687,S-ribosylhomocysteine lyase,STM2817
<i>sn</i>-glycerol 3-phosphate ABC transporter ATP binding subunit,b3450,,
<i>sn</i>-glycerol 3-phosphate ABC transporter membrane subunit UgpA,b3452,Plasmid SOS inhibition,PSLT070
<i>sn</i>-glycerol 3-phosphate ABC transporter membrane subunit UgpE,b3451,,
<i>sn</i>-glycerol 3-phosphate ABC transporter periplasmic binding protein,b3453,Plasmid SOS inhibition,PSLT070
sn-glycerol 3-phosphate:phosphate antiporter,b2240,glycerol 3-phosphate transporter,STM2283
